"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2842","Footer Section - checking the visibility of items on the footer section for LinkedIn (example #3)","","2026-02-25","passed","2026-02-25","","Footer Section","",""
"","2576","Dashboard Section - checking the visibility of items on the product cards","","2026-02-25","passed","2026-02-25","","Dashboard Section","",""
"","2739","Footer Section - checking the visibility of items on the footer section for Facebook (example #2)","","2026-02-25","passed","2026-02-25","","Footer Section","",""
"","1422","Login Page - checking the functionality of the Login Page with valid credentials (example #1)","","2026-02-25","passed","2026-02-25","","Login Page","",""
"","5510","Footer Section - checking the visibility of items on the footer section for Twitter (example #1)","","2026-02-25","passed","2026-02-25","","Footer Section","",""
"","1409","Header Section - checking the functionality of product sort dropdown on the header section (example #1)","","2026-02-25","passed","2026-02-25","","Header Section","",""
"","1183","Header Section - checking the visibility of ""Products"" heading on the header section","","2026-02-25","passed","2026-02-25","","Header Section","",""
"","2069","Footer Section - checking the visibility of heading on the footer section","","2026-02-25","passed","2026-02-25","","Footer Section","",""
"","1454","Header Section - checking the functionality of product sort dropdown on the header section (example #4)","","2026-02-25","passed","2026-02-25","","Header Section","",""
"","1504","Header Section - checking the functionality of product sort dropdown on the header section (example #3)","","2026-02-25","passed","2026-02-25","","Header Section","",""
"","1219","Login Page - checking the functionality of the Login Page with invalid credentials (example #1)","","2026-02-25","passed","2026-02-25","","Login Page","",""
"","1415","Header Section - checking the functionality of cart icon on the header section","","2026-02-25","passed","2026-02-25","","Header Section","",""
"","1416","Header Section - checking the functionality of product sort dropdown on the header section (example #2)","","2026-02-25","passed","2026-02-25","","Header Section","",""
"","1463","Dashboard Section - checking the navigation from dashboard page to product page through image click","","2026-02-25","passed","2026-02-25","","Dashboard Section","",""
"","1388","Header Section - checking the visibility of ""Swag Labs"" heading on the header section","","2026-02-25","passed","2026-02-25","","Header Section","",""
"","2223","Header Section - checking the functionality of hamburger icon on the header section","","2026-02-25","passed","2026-02-25","","Header Section","",""
