"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3396","Footer Section - checking the visibility of items on the footer section for LinkedIn (example #3)","","2026-06-20","passed","2026-06-20","","Footer Section","",""
"","2158","Header Section - checking the functionality of product sort dropdown on the header section (example #1)","","2026-06-20","passed","2026-06-20","","Header Section","",""
"","10107","Dashboard Section - checking the visibility of items on the product cards","","2026-06-20","passed","2026-06-20","","Dashboard Section","",""
"","9133","Login Page - checking the functionality of the Login Page with valid credentials (example #1)","","2026-06-20","passed","2026-06-20","","Login Page","",""
"","2120","Header Section - checking the functionality of product sort dropdown on the header section (example #2)","","2026-06-20","passed","2026-06-20","","Header Section","",""
"","3578","Dashboard Section - checking the navigation from dashboard page to product page through image click","","2026-06-20","passed","2026-06-20","","Dashboard Section","",""
"","5795","Header Section - checking the functionality of hamburger icon on the header section","","2026-06-20","passed","2026-06-20","","Header Section","",""
"","39612","Footer Section - checking the visibility of items on the footer section for Twitter (example #1)","","2026-06-20","passed","2026-06-20","","Footer Section","",""
"","2387","Header Section - checking the functionality of cart icon on the header section","","2026-06-20","passed","2026-06-20","","Header Section","",""
"","2668","Footer Section - checking the visibility of heading on the footer section","","2026-06-20","passed","2026-06-20","","Footer Section","",""
"","3889","Login Page - checking the functionality of the Login Page with invalid credentials (example #1)","","2026-06-20","passed","2026-06-20","","Login Page","",""
"","2295","Header Section - checking the functionality of product sort dropdown on the header section (example #3)","","2026-06-20","passed","2026-06-20","","Header Section","",""
"","2263","Header Section - checking the functionality of product sort dropdown on the header section (example #4)","","2026-06-20","passed","2026-06-20","","Header Section","",""
"","8430","Header Section - checking the visibility of ""Swag Labs"" heading on the header section","","2026-06-20","passed","2026-06-20","","Header Section","",""
"","2985","Footer Section - checking the visibility of items on the footer section for Facebook (example #2)","","2026-06-20","passed","2026-06-20","","Footer Section","",""
"","2068","Header Section - checking the visibility of ""Products"" heading on the header section","","2026-06-20","passed","2026-06-20","","Header Section","",""
